config,mpxi_windowed_active_mean,cnr_sector_mean,aperture_diam_mm
mobo_0205_ap0.4005_nap141_nd1_660_nd2_960_d2_403_d3_618,1.6048331415420023,3.6258402665456138,0.4004728853366727
mobo_0206_ap0.3491_nap109_nd1_660_nd2_934_d2_370_d3_573,1.4943614751600125,4.23603105545044,0.349100864134398
mobo_0207_ap0.3167_nap194_nd1_660_nd2_960_d2_397_d3_464,2.0232941176470587,4.403378089269002,0.3166502698363735
mobo_0209_ap0.4007_nap80_nd1_660_nd2_948_d2_375_d3_618,1.291478129713424,3.5894792874654136,0.4006572681509881
mobo_0210_ap0.4674_nap205_nd1_660_nd2_960_d2_390_d3_618,1.7647505217226334,2.8890624046325684,0.4674247916843177
mobo_0212_ap0.3678_nap150_nd1_660_nd2_180_d2_401_d3_618,1.7839489768801489,3.5749799013137817,0.3677718333581941
mobo_0213_ap0.5159_nap103_nd1_660_nd2_960_d2_540_d3_618,1.2485399091499028,2.850833515326182,0.5158993843278132
mobo_0260_ap0.3015_nap165_nd1_470_nd2_960_d2_540_d3_572,1.7229281767955802,4.081734259923299,0.3014698076604552
mobo_0261_ap0.5885_nap187_nd1_660_nd2_960_d2_540_d3_618,1.422046917168362,2.247359832127889,0.5884731343698255
mobo_0262_ap0.4194_nap60_nd1_660_nd2_960_d2_540_d3_572,1.111819519372241,3.1903825799624124,0.4193988843285149
mobo_0263_ap0.3179_nap155_nd1_518_nd2_960_d2_414_d3_446,1.663143254520167,3.9918712377548218,0.3179130604465544
mobo_0264_ap0.3182_nap117_nd1_544_nd2_960_d2_406_d3_566,1.410381679389313,4.316517233848572,0.318228708509619
mobo_0265_ap0.4090_nap216_nd1_660_nd2_740_d2_292_d3_440,1.6941604180867984,2.9391026496887207,0.4090218937162554
mobo_0266_ap0.3849_nap234_nd1_660_nd2_960_d2_540_d3_618,2.127719962157048,2.9188791513443,0.384865402510829
mobo_0267_ap0.4691_nap130_nd1_660_nd2_180_d2_424_d3_618,1.5781839280533798,2.929164409637451,0.4691149019986827
mobo_0268_ap0.2788_nap236_nd1_660_nd2_180_d2_394_d3_618,2.330634278002699,3.442901134490967,0.2788216379496318
mobo_0269_ap0.3263_nap60_nd1_660_nd2_740_d2_292_d3_562,1.1910408432147563,3.904569268226624,0.3263334769359594
mobo_0270_ap0.3786_nap86_nd1_660_nd2_906_d2_358_d3_558,1.3602968460111318,3.9276524980862937,0.378624397882741
mobo_0271_ap0.4752_nap180_nd1_660_nd2_960_d2_432_d3_562,1.5803826698922367,2.9296464721361795,0.4751898494906507
mobo_0272_ap0.5016_nap60_nd1_660_nd2_960_d2_540_d3_572,1.1332955190017016,2.8426090677579245,0.5015743269958786
mobo_0273_ap0.4323_nap207_nd1_660_nd2_244_d2_454_d3_618,2.114945007547984,3.007916291554769,0.4323344988311804
mobo_0274_ap0.2553_nap146_nd1_660_nd2_180_d2_292_d3_546,1.5016913869372883,4.147260745366414,0.2552518978666384
mobo_0275_ap0.3144_nap104_nd1_514_nd2_660_d2_305_d3_575,1.3302309548431577,4.594078381856282,0.3143546421794613
mobo_0276_ap0.5374_nap220_nd1_660_nd2_740_d2_292_d3_618,1.381635581061693,2.092849095662435,0.5374271365774943
mobo_0277_ap0.3337_nap112_nd1_660_nd2_618_d2_292_d3_584,1.3160157649587962,3.825945059458415,0.3337055140295068
mobo_0278_ap0.2969_nap111_nd1_336_nd2_794_d2_313_d3_572,1.3828099173553718,4.58343501885732,0.2968537403304743
mobo_0279_ap0.3911_nap167_nd1_660_nd2_954_d2_438_d3_541,1.787260878705066,3.668951153755188,0.3911240145782453
mobo_0280_ap0.5271_nap211_nd1_660_nd2_960_d2_467_d3_616,1.6090225563909777,2.329430560270945,0.5271369720110406
mobo_0281_ap0.3774_nap270_nd1_632_nd2_180_d2_438_d3_618,2.6019134775374377,2.7000991106033325,0.3773587093188948
mobo_0282_ap0.2000_nap270_nd1_660_nd2_580_d2_381_d3_618,2.8399638336347195,3.075494647026062,0.2
